dependency,file
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.index.collector,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.index.package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.models.selection_prefs,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.models.target_python,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.network.session,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.operations.build.build_tracker,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.operations.prepare,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.req.constructors,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.req.req_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.req.req_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.resolution.base,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.utils.temp_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.resolution.legacy.resolver,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
pip._internal.resolution.resolvelib.resolver,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
contextlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
itertools,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
sys,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
time,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
pip._internal.utils.compat,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
os,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
textwrap,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
optparse,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
typing,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
pip._internal.cli.base_command,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
pip._internal.cli.status_codes,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
pip._internal.exceptions,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
pip._internal.utils,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
pip._internal.utils.logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
pip._internal.utils.misc,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
