file,class
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,RemoteNotFoundError
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,RemoteNotValidError
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,RevOptions
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,VcsSupport
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,VersionControl
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_Sentinel
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_ExtensionsSpecialForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_DefaultMixin
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_TypeVarLikeMeta
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_SpecialForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_AnyMeta
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,Any
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_LiteralGenericAlias
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_LiteralForm
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_SpecialGenericAlias
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_ProtocolMeta
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,Protocol
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsInt
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsFloat
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsComplex
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsBytes
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsIndex
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsAbs
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,SupportsRound
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_TypedDictMeta
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_AnnotatedAlias
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,Annotated
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,NoDefaultTypeMeta
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,NoDefaultType
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,TypeVar
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_Immutable
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,ParamSpecArgs
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,ParamSpecKwargs
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_ConcatenateGenericAlias
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,deprecated
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_NamedTupleMeta
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,Buffer
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,NewType
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,TypeAliasType
